IDNUMBER	Mol Wt
F0914-0816	251.0946287
F5860-3609	251.098
F6089-7881	251.098
F6435-1825	251.1058621
F6478-1231	251.1070049
F2764-0073	251.115758
F6213-0188	251.115758
F6436-2998	251.115758
F0914-3186	252.0204779
F3139-1175	252.0357341
F0862-0526	252.039814
F0447-0114	252.0568634
F2128-0078	252.0680968
F3168-1665	252.0732624
F0350-0113	252.0898776
F0762-0295	252.0898776
F0862-0180	252.0898776
F3145-3682	252.0898776
F1533-0349	252.0932489
F0807-0427	252.1296344
F0918-0520	252.973842
F0919-3040	252.973842
F1967-0053	253.0076608
F2135-0964	253.0321258
F1107-0009	253.050571
F0919-4745	253.0685114
F3253-0020	253.0738932
F1226-0004	253.0851266
F6512-0544	253.0851266
F2135-1012	253.0997313
F2135-0330	254.0280619
F1385-0026	254.0513841
F1967-1060	254.0626175
F0472-0186	254.0691422
F0862-0178	254.0691422
F0499-0014	254.0803756
F0373-0097	254.0837469
F1443-5686	254.0889124
F1118-0507	254.1055277
F6471-7528	254.1055277
F6473-2028	254.1167611
F0749-0033	255.0830186
F1736-0492	255.0895433
F1736-0493	255.0895433
F6445-6019	255.1007767
F2964-3858	256.0670342
F3145-1644	256.0847923
F0486-2314	256.1034197
F0675-0077	256.1211778
F0675-0255	256.1211778
F0675-0530	256.1211778
F3412-0084	256.1211778
F3412-0087	256.1211778
F3412-0100	256.1211778
F2763-0213	256.1423071
F2764-0215	256.1423071
F2764-0108	256.1786926
F6213-0284	256.1786926
F0777-0554	256.962231
F0016-0129	257.0622832
F6435-1839	257.0622832
F2147-0338	257.0735165
F0862-0863	257.1051933
F1011-0827	257.1051933
F1967-1072	258.0575321
F2135-0112	258.0575321
F2161-0055	258.0575321
F0200-0003	258.061612
F1065-0766	258.061612
F0581-0470	258.0826843
F0125-2080	258.1004423
F0675-0033	258.1004423
F6222-0081	258.1116757
F6471-5019	258.1116757
F3282-0135	258.1168413
F0675-0292	258.1368278
F0675-0293	258.1368278
F0675-0294	258.1368278
F0675-0524	258.1368278
F0675-0526	258.1368278
F0914-0539	258.1368278
F1097-0012	258.9802985
F1097-0013	258.9802985
F1107-0017	258.9802985
F5791-1759	259.0415477
F0306-0075	259.0456276
F0346-3838	259.0456276
F5860-3931	259.0527811
F2739-0054	259.0779332
F2094-0861	259.0956913
F6233-0018	259.1069247
F3026-0075	259.1208434
F3294-0137	259.1208434
F2135-0869	260.0531956
F0300-0206	260.0619488
F6471-7537	260.0619488
F6473-2037	260.0731822
F1292-0051	260.094963
F2493-0392	260.0961058
F0807-0093	260.0983343
F2373-0019	260.1160924
F0835-0031	260.1190836
F2190-0690	260.1306971
F6359-5253	260.1524779
F5791-0590	261.0183675
F2147-0335	261.0484446
F1967-0961	261.0571978
F2805-1594	261.0571978
F3220-0497	261.0571978
F3220-0498	261.0571978
F3220-0499	261.0571978
F2070-0823	261.1025882
F6481-0079	261.1187354
F2764-0065	261.1364935
F6359-3661	261.1477269
F6478-3164	261.1477269
F2135-0111	262.0324602
F0777-0029	262.0412134
F1609-0568	262.0524468
F5791-1773	262.0524468
F3139-0878	262.0742276
F3139-0881	262.0742276
F0146-0001	262.0953569
F0103-0006	262.1106131
F0425-0039	263.0517185
F1098-0105	263.0728478
F3266-0296	263.0728478
F5964-0112	263.0728478
F3322-0004	263.0953146
F1305-0320	263.1058621
F1305-0333	263.1058621
F6488-1807	263.1269914
F6448-0285	263.1633769
F2128-0083	264.0680968
F3139-0879	264.0698911
F3139-0899	264.0698911
F3139-1245	264.0698911
F2487-0050	264.0932489
F3149-0154	264.0932489
F0679-0119	264.101111
F2459-0010	264.101111
F1065-0193	264.973842
F0808-1808	265.0208925
F3220-0560	265.0321258
F3220-0561	265.0321258
F3220-0562	265.0321258
F1065-0572	265.040879
F1593-0052	265.040879
F1622-0066	265.0685114
F2805-0704	265.0884979
F6466-0281	265.0884979
F1876-0554	265.09636
F6445-6028	265.1215121
F2763-0073	265.1314081
F0784-0139	265.1327455
F6213-0269	265.1426415
F6279-0629	265.1677936
F2381-0111	266.0458199
F1292-0052	266.0513841
F0447-0113	266.0725135
F6476-5837	266.0822054
F0762-0296	266.1055277
F0895-0028	266.1055277
F1226-0008	266.1055277
F1533-0333	266.108899
F0854-0107	266.1167611
F6478-5839	267.0774544
F0919-6656	267.0830186
F0138-0791	267.0895433
F1430-0137	267.0895433
F1641-0135	267.0895433
F1641-0143	267.0895433
F1641-0159	267.0895433
F2764-0048	267.0929146
F6118-0021	267.0929146
F6118-0022	267.0929146
F6213-0190	267.0929146
F6213-0244	267.0929146
F1226-0005	267.1007767
F6230-0015	267.1007767
F5323-0021	267.1371622
F2763-0027	267.1834437
F2764-0085	267.1834437
F6213-0082	267.1834437
F1736-2130	268.0306487
F0447-0112	268.051778
F3168-1704	268.0782676
F3168-1708	268.0782676
F0350-0116	268.0847923
F0675-0098	268.0847923
F0762-0320	268.0847923
F6439-5395	268.0960256
F0373-0179	268.0993969
F0886-0021	268.0993969
F9995-0222	268.1211778
F6471-5028	268.1324112
F2764-0217	268.1423071
F6244-2851	268.1575633
F6400-0486	268.1609346
F1107-0016	269.0454856
F3168-1662	269.0622832
F6435-0320	269.0721791
F0749-0041	269.0986687
F0749-0068	269.0986687
F6064-0200	269.1164267
F2763-0004	269.1990937
F0227-0538	269.982633
F1605-0888	270.0575321
F5791-1757	270.0575321
F5791-1758	270.0575321
F5791-1765	270.0575321
F1191-0066	270.0786615
F0300-0203	270.0826843
F2147-0725	270.0925802
F0095-1541	270.1004423
F1736-0512	270.1004423
F3412-0016	270.1004423
F3412-0114	270.1004423
F3412-0152	270.1004423
F9994-4310	270.1116757
F1533-0010	270.1190698
F0675-0023	270.1368278
F0675-0024	270.1368278
F0675-0256	270.1368278
F0675-0312	270.1368278
F0675-0490	270.1368278
F6210-0954	270.1368278
F3345-0624	270.1401991
F2763-0214	270.1579572
F2764-0216	270.1579572
F2763-0107	270.1943427
F0777-1493	271.0415477
F1285-1155	271.054611
F3168-1683	271.0579467
F9994-4740	271.0626771
F0331-0131	271.0779332
F3345-0595	271.0779332
F6445-6037	271.0779332
F6359-1671	271.1320768
F6513-5475	271.1320768
F2070-0018	271.1433102
F0350-0110	272.0352552
F0350-0112	272.0352552
F0150-0071	272.0419623
F0862-0558	272.0619488
F0920-3705	272.0619488
F1358-0283	272.0619488
F1045-0034	272.0731822
F1694-0006	272.0731822
F2135-0116	272.0731822
F2135-0870	272.0731822
F0581-0473	272.0983343
F0581-0497	272.0983343
F0675-0081	272.1160924
F0348-1933	272.92867
F0239-0296	272.9793333
F0913-2704	273.0571978
F1855-0024	273.0571978
F6356-0110	273.0571978
F1732-0006	273.0612777
F1533-0342	273.0935833
F2094-0498	273.1113414
F6448-0526	273.1113414
F1923-0163	273.941162
F1386-0017	274.050002
F2135-0798	274.0524468
F2161-0062	274.0524468
F0581-0471	274.0775989
F1923-0046	274.0888323
F6244-0257	274.0888323
F1065-0170	274.1317424
F6442-5468	274.168128
F1967-1152	275.0728478
F1967-1165	275.0728478
F2805-0010	275.0728478
F3220-0500	275.0728478
F3220-0537	275.0728478
F3220-0538	275.0728478
F3220-0539	275.0728478
F3220-0540	275.0728478
F3220-0541	275.0728478
F6064-0125	275.0728478
F3225-7678	275.0825398
F3139-1357	275.1170954
F1065-0577	275.1269914
F2823-0020	275.1382248
F2763-0065	275.1521435
F2764-0086	275.1521435
F2764-0088	275.1521435
F6213-0092	275.1521435
F6479-4111	275.1633769
F6480-2959	275.1633769
F6480-5839	275.1633769
F2161-0056	276.0481103
F0078-0017	276.0568634
F6254-0015	276.0568634
F6125-0506	276.0680968
F6210-0661	276.0680968
F0581-0493	276.0732624
F0581-0494	276.0732624
F3139-0710	276.0898776
F3139-1172	276.0898776
F3139-1173	276.0898776
F0126-0205	276.0932489
F6210-0860	276.0932489
F2764-0106	276.1473925
F5831-4201	276.1473925
F6213-0286	276.1473925
F2147-0400	277.0188942
F3188-0058	277.040879
F6226-0025	277.050571
F5871-1943	277.0618043
F2070-0984	277.0730377
F1414-0532	277.0738932
F0910-6535	277.0884979
F5857-5760	277.0884979
F5857-6139	277.0884979
F5860-3603	277.0884979
F0835-0005	277.0997313
F6441-5336	277.11365
F6230-0146	277.1215121
F0836-0002	277.1248834
F3345-0628	277.1248834
F6118-0028	277.1314081
F6213-0015	277.1314081
F6395-3981	277.1314081
F6436-2930	277.1314081
F6118-0211	277.1347794
F6213-0357	277.1347794
F2135-0113	278.0029097
F3369-0627	278.0458199
F3139-0978	278.0513841
F3139-0986	278.0513841
F0306-0476	278.0626175
F3139-1301	278.0626175
F1011-1612	278.0725135
F5053-0057	278.0822054
F2135-0922	278.0837469
F3371-0309	278.0855411
F0341-0120	278.1055277
F0675-0111	278.1055277
F0709-0325	278.1055277
F1523-4219	278.1055277
F1521-2654	278.108899
F3149-0230	278.108899
F2514-0290	278.1167611
F2514-0431	278.1167611
F6213-0013	278.1266571
F1268-0008	279.0298355
F1967-0954	279.0477759
F3220-0571	279.0477759
F3220-0572	279.0477759
F3220-0573	279.0477759
F3026-0237	279.066221
F3294-0143	279.066221
F1040-0031	279.0929146
F6122-0028	279.0929146
F6266-0239	279.0929146
F6435-0333	279.0929146
F6436-2899	279.0929146
F1305-0323	279.1007767
F3250-0610	279.1007767
F5860-1583	279.1026065
F1723-0095	279.104148
F6481-1231	279.1093135
F1876-0826	279.1120101
F1876-0962	279.1120101
F6213-0217	279.1470582
F1028-0026	280.0881636
F6359-0875	280.0978555
F1354-0401	280.1211778
F3181-0232	280.1223206
F1601-0474	281.0025754
F3220-0492	281.0025754
F3220-0493	281.0025754
F3220-0494	281.0025754
F1622-0067	281.0389609
F1280-0009	281.0688078
F1097-0138	281.0834125
F1305-0336	281.0964402
F1641-0136	281.1051933
F1641-0144	281.1051933
F1707-0021	281.1051933
F1707-0070	281.1051933
F1764-0019	281.1051933
F2763-0048	281.1085647
F5831-4204	281.1085647
F6173-0040	281.1085647
F6213-0178	281.1085647
F6436-2917	281.1085647
F0921-4246	282.0229765
F1736-2131	282.0462987
F0675-0131	282.0804558
F0675-0132	282.0804558
F1201-0059	282.0838271
F1927-0004	282.0939176
F0675-0333	282.1004423
F0762-0299	282.1004423
F1226-0015	282.1004423
F6193-0036	282.1004423
F6436-1245	282.1004423
F6436-1259	282.1004423
F6436-3072	282.1004423
F6118-0316	282.1038136
F6213-0300	282.1038136
F1252-0058	282.1280747
F6471-5528	282.1480612
F2763-0216	282.1579572
F2764-0111	282.1943427
F6118-0317	282.1943427
F6213-0285	282.1943427
F3294-0103	282.984406
F3220-0563	283.022704
F3220-0564	283.022704
F5791-1414	283.0779332
F6230-0052	283.0779332
F5791-1376	283.1208434
F6436-1327	283.1208434
F6436-2311	283.1208434
F6448-0657	283.1320768
F2487-0229	284.0619488
F3244-0295	284.0619488
F6089-2925	284.0619488
F5791-1785	284.0731822
F6439-5422	284.0731822
F5791-1398	284.0830782
F1045-0038	284.0983343
F3412-0110	284.1160924
F6473-3528	284.1160924
F6222-0171	284.1273258
F0675-0009	284.1524779
F0675-0491	284.1524779
F3225-7635	284.1637113
F2763-0215	284.1736073
F1876-0146	285.0417376
F0014-0684	285.0571978
F1723-0305	285.0935833
F3345-0622	285.0935833
F9994-4597	285.1113414
F6440-2331	285.1477269
F9994-4239	285.1477269
F0762-0301	286.0509053
F1589-0234	286.0509053
F1358-0676	286.0775989
F1736-0629	286.0775989
F2964-3879	286.0775989
F6254-0136	286.0775989
F6473-5028	286.0953569
F9994-4195	286.1065903
F9994-4270	286.1065903
F0581-0495	286.1139844
F6261-1695	286.1139844
F0533-0444	286.1252178
F0675-0034	286.1317424
F0675-0316	286.1317424
F0675-0503	286.1317424
F6213-0253	286.1317424
F6438-0041	286.1429758
F2199-0281	286.9931535
F3211-0001	287.0252289
F1967-0058	287.0340176
F0416-0018	287.0728478
F1219-1670	287.0728478
F1365-3037	287.0728478
F2202-2409	287.0728478
F6435-2014	287.0728478
F5772-7345	287.0840812
F5772-7409	287.0840812
F5860-3653	287.0840812
F5959-0112	287.0840812
F6266-0148	287.115758
F6448-1548	287.1269914
F6441-5345	287.1343855
F2215-0503	287.1382248
F6118-0041	287.1521435
F6213-0146	287.1521435
F6482-2053	287.1521435
F1201-0153	287.956812
F2105-0003	288.0481103
F0447-0077	288.0568634
F2145-0013	288.0568634
F0331-0255	288.0680968
F0828-0040	288.0744052
F6473-2239	288.0777888
F0207-0869	288.0932489
F0581-0483	288.0932489
F0581-0485	288.0932489
F0581-0501	288.0932489
F6471-5537	288.1044823
F6482-3667	288.1044823
F9994-4333	288.1222404
F3168-1703	288.1408678
F3345-0607	289.0685114
